,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
u4406,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,,5.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,4.0,,4.0,,,5.0,5.0,5.0,3.0,5.0,3.0,4.0,,5.0,5.0,,5.0,,,,,5.0,,,5.0,,,,,5.0,5.0,,,,,4.0,5.0,,5.0,5.0,3.0,,,5.0,5.0,,4.0,,4.0,5.0,4.0,5.0,,,,4.0,,,,,,,,
u4407,5.0,,,,,4.0,,,,5.0,3.0,,,5.0,,,,,3.0,5.0,,3.0,,5.0,,5.0,,5.0,,4.0,,3.0,,4.0,,,,,4.0,,,3.0,,,,,,3.0,,,,,5.0,3.0,,,,,,,5.0,5.0,,2.0,4.0,,3.0,,,,2.0,4.0,,,,,5.0,,,3.0,,,4.0,3.0,4.0,,,,,5.0,,,4.0,2.0,,,,,,
u4408,,4.0,3.0,,,5.0,,,5.0,5.0,,5.0,5.0,5.0,,,3.0,5.0,,,5.0,,4.0,5.0,5.0,,3.0,,4.0,5.0,5.0,,4.0,,,,3.0,3.0,4.0,,3.0,,,5.0,5.0,3.0,,,5.0,5.0,5.0,3.0,,,,4.0,4.0,2.0,,3.0,,,,,,3.0,,3.0,,3.0,,3.0,5.0,5.0,,3.0,,3.0,,,5.0,,,,,5.0,,,,,,,,,,5.0,,,2.0,
u4409,5.0,,,,,,,,,,,,,5.0,,5.0,,4.0,,5.0,,,5.0,,,,5.0,,,5.0,,,,4.0,,,4.0,,,5.0,,,5.0,,,,3.0,4.0,,,4.0,,,,,,,,5.0,,,,,,,,5.0,,,,,5.0,,,,,5.0,,5.0,,,,5.0,,4.0,,,,,5.0,,5.0,3.0,5.0,,,,,,
u441,4.0,5.0,4.0,,5.0,,5.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,4.0,4.0,,,,,,4.0,5.0,,,,5.0,,,4.0,,,,5.0,4.0,,,,,4.0,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,
u4410,5.0,5.0,,,,,,,4.0,4.0,,,,,,,,4.0,4.0,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,
u4411,5.0,5.0,5.0,5.0,4.0,,4.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,,5.0,5.0,5.0,,3.0,5.0,5.0,5.0,,5.0,4.0,5.0,,5.0,,4.0,5.0,2.0,4.0,4.0,,4.0,4.0,2.0,3.0,5.0,2.0,,5.0,3.0,5.0,,4.0,4.0,5.0,,,3.0,4.0,4.0,3.0,5.0,3.0,4.0,,,5.0,2.0,5.0,,,5.0,4.0,4.0,5.0,4.0
u4412,4.0,,,,3.0,,,4.0,4.0,,,,1.0,,5.0,3.0,,,,4.0,,,1.0,5.0,,4.0,,3.0,,,,,,,,,,,4.0,,,5.0,,,,,,3.0,,,,,,3.0,,,,,,,5.0,3.0,,,,,,,,,,4.0,,,,,4.0,,4.0,,,,,,4.0,,,,,5.0,,,,,,,,,,5.0
u4413,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,
u4414,1.0,,4.0,,,,,,,5.0,3.0,,,5.0,,,,,,5.0,,,,5.0,,5.0,5.0,,,4.0,,,,4.0,,,4.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,4.0,,,,,,1.0,,4.0,,,,,5.0,,,,,2.0,,5.0,,,,4.0,,5.0,,,,,4.0,,3.0,3.0,4.0,,,,,,
u4415,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,,5.0,,5.0,5.0,5.0,4.0,,,,,5.0,,,5.0,5.0,5.0,,5.0,,,4.0,4.0,5.0,3.0,3.0,1.0,5.0,,,,4.0,,,,,,4.0,3.0,5.0,5.0,5.0,,,,5.0,,,,,,,,,3.0,3.0,4.0,,,,,4.0,,,3.0,,5.0,,,3.0,,,3.0,,5.0,,,2.0,,,,,,,,,,,,
u4416,4.0,5.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,,4.0,,4.0,5.0,,,,5.0,5.0,,5.0,5.0,5.0,4.0,,5.0,4.0,5.0,,,4.0,5.0,5.0,,5.0,,,,4.0,,,,4.0,5.0,,5.0,5.0,,3.0,,,,,,5.0,,4.0,,,5.0,5.0,3.0,,4.0,,4.0,,,,4.0,4.0,,,,,,5.0,,5.0,,,,,5.0,,2.0,4.0,,,,,,,
u4417,,5.0,5.0,5.0,,4.0,5.0,5.0,,5.0,,,,,,,5.0,,5.0,,,5.0,,,,,,,3.0,,5.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,4.0,,5.0,,,5.0,,,,4.0,3.0,,,,,,,,,,5.0,,,,,,,,3.0,,3.0,4.0,,3.0,5.0,,,,,,,5.0,,,,,,5.0,,,,,4.0,4.0
u4418,4.0,4.0,,,,,,4.0,4.0,3.0,,,3.0,5.0,,4.0,,4.0,5.0,5.0,,,4.0,4.0,5.0,,,,,,,,,,,,,,5.0,,,,,2.0,5.0,,,,4.0,5.0,5.0,,3.0,,,,,3.0,,,4.0,2.0,,,4.0,,5.0,,,,5.0,,4.0,,,,,,2.0,,,4.0,4.0,,,,,,5.0,4.0,5.0,,5.0,4.0,4.0,,,,,
u4419,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,
u442,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,,,4.0,,4.0,4.0,,3.0,,5.0,5.0,5.0,,4.0,5.0,5.0,3.0,,,5.0,5.0,5.0,5.0,4.0,4.0,,,3.0,5.0,4.0,5.0,2.0,4.0,5.0,,4.0,,4.0,3.0,5.0,5.0,3.0,,,4.0,5.0,5.0,4.0,,4.0,4.0,4.0,,5.0,,3.0,4.0,5.0,,4.0,3.0,4.0,2.0,4.0,,1.0,5.0,,3.0,5.0,
u4420,,5.0,,,,,,,,,,5.0,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
u4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4422,5.0,,5.0,5.0,,4.0,,,5.0,5.0,,5.0,,5.0,4.0,4.0,5.0,5.0,,,4.0,,,,5.0,5.0,,4.0,,5.0,3.0,,4.0,5.0,3.0,3.0,4.0,4.0,2.0,,4.0,,3.0,3.0,,4.0,3.0,4.0,,,5.0,4.0,5.0,,,5.0,5.0,,,,,,5.0,,,,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,2.0,4.0,5.0,5.0,4.0,,,,,4.0,4.0,,4.0,,,,4.0,3.0,,4.0,4.0,5.0,,5.0,
u4423,,,5.0,5.0,,,,,,4.0,,5.0,4.0,5.0,,,5.0,,4.0,,,,,,,,4.0,4.0,3.0,,4.0,,,,5.0,3.0,,,5.0,,5.0,,,4.0,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,
u4424,,4.0,4.0,,,2.0,4.0,4.0,,5.0,,4.0,,,,,4.0,,,,,,,,4.0,,,,,,5.0,,,,5.0,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,,,,5.0,5.0,,,,,,,,,,,,5.0,,,,,,
u4425,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,,5.0,3.0,4.0,3.0,4.0,5.0,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,3.0,3.0,4.0,4.0,,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0
u4426,,4.0,,,,,,,3.0,,3.0,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,3.0,,4.0,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,
u4427,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,5.0,,,,5.0,,,4.0,,,,,2.0,5.0,4.0,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
u4428,5.0,,,,,5.0,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,5.0,,,,,,,3.0,,,,,,,,
u4429,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,4.0,,5.0,2.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u443,,,,,,,,,,,,,4.0,,,,,5.0,2.0,,5.0,,,5.0,5.0,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,4.0,5.0,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
u4430,5.0,,,4.0,,4.0,,,,,,,5.0,,3.0,4.0,3.0,4.0,,3.0,,,3.0,4.0,,5.0,,5.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,4.0,3.0,,,,,,,,2.0,,,3.0,,5.0,,,2.0,3.0,2.0,3.0,,,,,4.0,,,,,,,3.0,,,
u4431,5.0,,,,,,1.0,3.0,,4.0,,3.0,,,,,,5.0,3.0,,,,5.0,3.0,3.0,,,4.0,,,,,,,,,,,5.0,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,3.0,,,,,,,,,
u4432,,,,,,,,,,,,,,,3.0,5.0,,,,4.0,,,4.0,,,,,,,,,,,,,,,4.0,,,5.0,,,5.0,,,,,,,5.0,,,,4.0,,,2.0,,5.0,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,
u4433,,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,,4.0,5.0,5.0,,3.0,3.0,,,,,4.0,,5.0,,4.0,4.0,4.0,,5.0,5.0,,3.0,4.0,,,,,,,3.0,5.0,,3.0,5.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,3.0,4.0,5.0,,,,,5.0,,,,,,,3.0,,,,4.0,4.0,,,,,,,5.0,
u4434,,,,,,,,,,,,,,,,,5.0,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,3.0,,,,,,4.0,,,2.0,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
u4435,4.0,,,,,,,,5.0,,,,5.0,,,,,,,,,,4.0,5.0,,5.0,,4.0,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,4.0,,,,,2.0,,3.0,,,,,,4.0,,,,,,,,,,,,,,,
u4436,4.0,,,,,,3.0,4.0,4.0,5.0,,,,5.0,5.0,4.0,,5.0,2.0,4.0,,,4.0,,3.0,,4.0,,,5.0,,,4.0,4.0,,5.0,3.0,5.0,5.0,,,,4.0,,,4.0,,4.0,,,,,4.0,4.0,,,4.0,5.0,5.0,4.0,4.0,,4.0,3.0,,,4.0,,,,4.0,5.0,,,,3.0,4.0,,,,4.0,,4.0,,4.0,,,,,4.0,,,,,,5.0,,,5.0,
u4437,,3.0,,2.0,,,3.0,,4.0,,3.0,4.0,,5.0,,,,,,2.0,,,,,4.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,,,,1.0,,,,3.0,3.0,1.0,,,,,,4.0,4.0,,5.0,,,5.0,4.0,5.0,2.0,3.0,4.0,,,2.0,2.0,,,,1.0,3.0,5.0,,1.0,,,,,1.0,4.0,3.0,4.0,4.0,,,2.0,3.0,,,,,2.0,,2.0,,2.0,4.0,,,4.0,3.0,5.0
u4438,,,4.0,4.0,5.0,5.0,4.0,,,,,,,,4.0,,,5.0,,,4.0,,,,,,,,,4.0,,,,,5.0,,3.0,,,3.0,,,,,,,,4.0,,5.0,,4.0,,5.0,,5.0,,5.0,,3.0,2.0,,,,,,,,,3.0,,,,,4.0,,,3.0,4.0,,4.0,,,,3.0,,,,,,,,,,4.0,4.0,,,3.0,
u4439,3.0,,,4.0,,,,,4.0,,,,,1.0,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u444,4.0,,4.0,,,,,,3.0,,,,5.0,,3.0,4.0,,4.0,4.0,,3.0,,3.0,4.0,,4.0,3.0,4.0,,4.0,,,,,,,,,,5.0,,,,4.0,,,,,,,5.0,,,,,,3.0,4.0,,,,,,,,,,,4.0,,,,,,,3.0,,,,,4.0,4.0,,,,,,,,,5.0,,,,,,,,,
u4440,5.0,,,,,,,,3.0,5.0,,,,,,,5.0,5.0,,,,,,5.0,,,3.0,,,,4.0,,,4.0,,,,4.0,,,4.0,,,4.0,,,,,4.0,,,,4.0,,,,,5.0,,4.0,,,3.0,,,,4.0,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4441,,,,,1.0,5.0,,5.0,3.0,,,,,,2.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,5.0,,,,,
u4442,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
u4443,4.0,,,,,,,,,,,,,,,,,,3.0,4.0,,,4.0,,,,,,,1.0,,,,,,3.0,4.0,3.0,,,,,4.0,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
u4444,5.0,4.0,4.0,4.0,5.0,4.0,,,,5.0,,4.0,,5.0,4.0,3.0,4.0,,,,,,4.0,5.0,,,3.0,,,5.0,,,,,,,5.0,5.0,,,,,4.0,,,,3.0,4.0,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,5.0,,5.0,,,5.0,,,,,,2.0,,5.0,,,,,,,3.0,,,5.0,,,,,
u4445,5.0,,,,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,
u4446,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,,5.0,,4.0,5.0,,4.0,4.0,5.0,5.0,,4.0,5.0,,4.0,3.0,4.0,2.0,4.0,4.0,,2.0,,3.0,,5.0,,2.0,4.0,3.0,,3.0,,,4.0,4.0,,,,5.0,3.0,3.0,3.0,4.0,4.0,,,,,3.0,,,5.0,4.0,4.0,4.0,4.0,,,3.0,4.0,3.0,4.0,2.0,4.0,,4.0,,,5.0,,4.0,,,4.0,,1.0,,,,,,5.0,4.0,,4.0,3.0
u4447,4.0,3.0,4.0,2.0,2.0,,4.0,4.0,3.0,4.0,3.0,2.0,5.0,,,,4.0,,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,,4.0,2.0,4.0,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,5.0,5.0,4.0,,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,,3.0,,,4.0,2.0,5.0,3.0,,4.0,3.0,4.0,,,4.0,2.0,3.0,5.0,,3.0,,4.0,3.0,3.0,,3.0,,3.0,2.0,3.0,,,5.0,2.0,4.0,3.0,,3.0,,2.0,3.0,3.0
u4448,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,,4.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,3.0,4.0,,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0
u4449,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,5.0,,5.0,,,5.0,4.0,4.0,5.0,,,5.0,4.0,4.0,5.0,5.0,,4.0,5.0,4.0,,5.0,,4.0,4.0,4.0,,5.0,,,,5.0,,4.0,5.0,,,4.0,4.0,4.0,,,,,,,4.0,,,5.0,,5.0,,,,,4.0,4.0,4.0,,,5.0,,5.0,4.0,,5.0,,4.0,,,3.0,,,5.0,,4.0,,4.0,5.0,4.0,5.0,5.0,,,,,,4.0,,5.0,4.0
u445,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,4.0,,5.0,,,5.0,,,,,4.0,,5.0,,3.0,,5.0,,5.0,,5.0,,5.0,4.0,,5.0,3.0,5.0,5.0,5.0,,,4.0,5.0,5.0,5.0,,,3.0,,,4.0,,,,,,,,,5.0,,,,,3.0,,3.0,5.0,,,,,2.0,4.0,,4.0,,4.0,,,4.0,,,,,3.0,,4.0,4.0,4.0,,5.0,4.0,,,,,,,,
u4450,,5.0,,,3.0,,2.0,,3.0,,3.0,,,,,,,,,,2.0,1.0,,,,,,,4.0,,3.0,2.0,,,3.0,5.0,,,,,,3.0,4.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,4.0,,4.0,,,,,3.0,,,,,,,2.0,4.0,,,2.0,,,,,,,,,
u4451,4.0,5.0,4.0,4.0,4.0,5.0,,2.0,3.0,3.0,1.0,3.0,5.0,,4.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,,5.0,4.0,3.0,,,3.0,,,,,3.0,5.0,4.0,,1.0,,4.0,4.0,,,,3.0,4.0,,3.0,5.0,,3.0,,1.0,,3.0,4.0,,2.0,3.0,1.0,,,,2.0,,3.0,,4.0,,,,,2.0,,3.0,1.0,4.0,,2.0,,1.0,,,,,4.0,,,2.0,,2.0,4.0,,,2.0,
u4452,5.0,,,,4.0,,5.0,,,5.0,5.0,,5.0,4.0,4.0,4.0,,5.0,3.0,5.0,,,4.0,5.0,,,,5.0,,5.0,,4.0,5.0,5.0,,,,,,5.0,,,,,,,,2.0,,,,,,5.0,,,,,4.0,,,2.0,,,5.0,5.0,5.0,,,,4.0,5.0,,,,,,,,1.0,,5.0,3.0,,,,,,5.0,5.0,,,,5.0,4.0,,3.0,,,
u4453,,,,,4.0,,4.0,4.0,,,4.0,,,,,,3.0,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,4.0,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,
u4454,,3.0,,,3.0,,5.0,5.0,,,3.0,,5.0,,,,,,3.0,,,1.0,,,,,,3.0,,,,4.0,,4.0,,,,,5.0,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,3.0,,,,,,,,
u4455,4.0,,,,,,,,,,,,,4.0,,4.0,5.0,,,,,,5.0,,4.0,,5.0,,,,,,,,,5.0,4.0,,,,,,,,,,5.0,4.0,,,,,,,,,,,4.0,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,3.0,,,,,,,,
u4456,5.0,,,,,1.0,,4.0,,5.0,,4.0,5.0,3.0,,5.0,,,5.0,4.0,5.0,,,4.0,,,3.0,5.0,,5.0,,,,5.0,,,,,,3.0,,,,,5.0,,,5.0,,,3.0,,5.0,3.0,,,,,5.0,,,,,,5.0,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,4.0,
u4457,,4.0,5.0,5.0,,5.0,5.0,4.0,4.0,5.0,,,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,,5.0,5.0,,,4.0,5.0,,5.0,,5.0,,4.0,5.0,5.0,,5.0,,,,,5.0,,5.0,,,,5.0,5.0,4.0,5.0,,,,,,,4.0,,,4.0,,,4.0,,3.0,3.0,,,,5.0,,,,,3.0,,3.0,5.0,,,,,,,,,,5.0,,,,,,,,,
u4458,4.0,4.0,4.0,3.0,4.0,,4.0,,4.0,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,,,4.0,4.0,5.0,3.0,4.0,4.0,,,4.0,4.0,3.0,,4.0,4.0,,,,3.0,,,,,,,,4.0,,3.0,4.0,,4.0,,5.0,,4.0,,,4.0,2.0,4.0,3.0,,5.0,4.0,5.0,4.0,2.0,,,,5.0,,2.0,2.0,3.0,,3.0,3.0,3.0,,,4.0,,4.0,,4.0,4.0,,2.0,,5.0,,,5.0,2.0
u4459,4.0,,4.0,3.0,,5.0,,,4.0,4.0,4.0,,5.0,,,4.0,,4.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,5.0,,,,,,5.0,4.0,,,4.0,,5.0,3.0,,3.0,4.0,,,,,,4.0,,,5.0,,,,4.0,,,4.0,,,4.0,,5.0,,3.0,4.0,4.0,4.0,,2.0,,,,5.0,,,4.0,,,,4.0,,,,,,,4.0,3.0,,4.0,3.0,,4.0,,,,
u446,,,3.0,3.0,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4460,5.0,,,4.0,4.0,4.0,4.0,5.0,,,2.0,,,,,,,,,4.0,,4.0,,,,5.0,,5.0,,,,,,,,,,,5.0,,,4.0,3.0,,,,,,,,,,5.0,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,4.0,4.0,,,4.0,,4.0,,,3.0,,5.0,,,,4.0,,,,,,3.0
u4461,4.0,5.0,4.0,5.0,4.0,,5.0,3.0,5.0,5.0,5.0,5.0,,,,,5.0,,,,5.0,5.0,,,,,,,5.0,,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,,,5.0,5.0,,5.0,5.0,,,,,,,,,,5.0,5.0,5.0,,,,,,2.0,,3.0,5.0,,,,,,3.0,,5.0,,,5.0,,,,,,,,,4.0,4.0,,,4.0,,,,,5.0,4.0,5.0,5.0,4.0
u4462,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,4.0,,,,1.0,,5.0,,4.0,,,,,,,,,,,,,,,
u4463,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4464,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4465,4.0,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,4.0,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,
u4466,4.0,4.0,,3.0,,,,,,,,,,,4.0,,,,,,4.0,,4.0,,5.0,,4.0,,4.0,,,,,,3.0,4.0,3.0,,,,3.0,2.0,4.0,5.0,,,,4.0,5.0,5.0,,,,,,4.0,,4.0,,4.0,,,3.0,,,,,,,,,5.0,,,4.0,3.0,,4.0,,,4.0,,,,,5.0,,,,,,,,,,,,,4.0,
u4467,,,,,2.0,,,,3.0,,,5.0,,,,,,,,,5.0,,,5.0,,4.0,4.0,,,,,,3.0,,,,4.0,,,,4.0,,,3.0,,4.0,4.0,4.0,,,,,,3.0,3.0,,,,,4.0,,2.0,4.0,,,,,4.0,,,4.0,,,,,4.0,,4.0,,,,,,,,,,,2.0,,,,,,3.0,,,4.0,,
u4468,5.0,,,,,5.0,,,,4.0,,5.0,,,3.0,4.0,,,5.0,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,3.0,,,3.0,5.0,2.0,,,,,5.0,,,,4.0,,4.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,4.0,5.0,,,,
u4469,,,,,,,3.0,,,,,4.0,,,,,,,3.0,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
